feature1,feature2,feature3
0.701149,0.753086,0.705882
0.712644,0.753086,0.717647
0.724138,0.765432,0.729412
0.712644,0.728395,0.717647
0.678161,0.765432,0.694118
0.655172,0.728395,0.682353
0.643678,0.753086,0.647059
0.597701,0.691358,0.611765
0.643678,0.654321,0.623529
0.712644,0.703704,0.694118
0.758621,0.740741,0.752941
0.850575,0.864198,0.823529
0.816092,0.740741,0.788235
0.678161,0.679012,0.658824
0.793103,0.753086,0.764706
0.839080,0.827160,0.811765
0.689655,0.716049,0.694118
0.747126,0.765432,0.729412
0.793103,0.790123,0.776471
0.758621,0.814815,0.764706
0.770115,0.790123,0.764706
0.804598,0.814815,0.788235
0.712644,0.777778,0.717647
0.781609,0.716049,0.741176
0.816092,0.839506,0.788235
0.873563,0.851852,0.847059
0.896552,0.901235,0.882353
0.885057,0.913580,0.894118
0.896552,0.913580,0.882353
0.701149,0.814815,0.741176
0.747126,0.753086,0.717647
0.666667,0.753086,0.682353
0.712644,0.703704,0.694118
0.770115,0.753086,0.752941
0.770115,0.790123,0.776471
0.758621,0.802469,0.764706
0.735632,0.765432,0.729412
0.724138,0.753086,0.717647
0.793103,0.765432,0.764706
0.793103,0.814815,0.788235
0.816092,0.839506,0.811765
0.712644,0.765432,0.729412
0.735632,0.740741,0.717647
0.770115,0.802469,0.764706
0.689655,0.777778,0.705882
0.666667,0.716049,0.670588
0.735632,0.703704,0.705882
0.793103,0.777778,0.764706
0.885057,0.839506,0.835294
0.804598,0.864198,0.788235
0.804598,0.851852,0.776471
0.793103,0.827160,0.776471
0.724138,0.753086,0.729412
0.770115,0.790123,0.752941
0.816092,0.790123,0.764706
0.758621,0.740741,0.741176
0.804598,0.814815,0.788235
0.747126,0.827160,0.764706
0.770115,0.777778,0.764706
0.643678,0.753086,0.658824
0.620690,0.728395,0.635294
0.563218,0.691358,0.600000
0.643678,0.654321,0.635294
0.712644,0.728395,0.694118
0.563218,0.703704,0.623529
0.643678,0.728395,0.658824
0.528736,0.679012,0.588235
0.563218,0.641975,0.576471
0.494253,0.629630,0.541176
0.517241,0.654321,0.564706
0.597701,0.666667,0.611765
0.620690,0.703704,0.623529
0.689655,0.703704,0.670588
0.609195,0.728395,0.635294
0.551724,0.679012,0.588235
0.574713,0.691358,0.611765
0.632184,0.654321,0.635294
0.643678,0.666667,0.635294
0.482759,0.555556,0.505882
0.344828,0.506173,0.411765
0.298851,0.481481,0.376471
0.367816,0.481481,0.400000
0.505747,0.493827,0.458824
0.494253,0.506173,0.482353
0.517241,0.555556,0.505882
0.482759,0.555556,0.482353
0.505747,0.567901,0.505882
0.551724,0.580247,0.552941
0.517241,0.641975,0.588235
0.425287,0.493827,0.423529
0.390805,0.444444,0.388235
0.425287,0.456790,0.423529
0.471264,0.481481,0.470588
0.494253,0.580247,0.517647
0.517241,0.555556,0.517647
0.505747,0.530864,0.505882
0.494253,0.580247,0.529412
0.494253,0.641975,0.552941
0.459770,0.555556,0.482353
0.379310,0.555556,0.447059
0.390805,0.543210,0.447059
0.379310,0.518519,0.447059
0.471264,0.592593,0.505882
0.505747,0.604938,0.552941
0.505747,0.567901,0.517647
0.655172,0.592593,0.623529
0.528736,0.555556,0.564706
0.413793,0.506173,0.435294
0.390805,0.456790,0.411765
0.448276,0.358025,0.435294
0.275862,0.308642,0.270588
0.402299,0.432099,0.388235
0.517241,0.518519,0.494118
0.482759,0.518519,0.482353
0.563218,0.580247,0.541176
0.551724,0.641975,0.564706
0.609195,0.691358,0.611765
0.666667,0.641975,0.635294
0.482759,0.555556,0.494118
0.505747,0.555556,0.529412
0.632184,0.679012,0.623529
0.517241,0.641975,0.576471
0.540230,0.592593,0.541176
0.471264,0.543210,0.470588
0.494253,0.604938,0.517647
0.494253,0.555556,0.494118
0.471264,0.543210,0.505882
0.448276,0.543210,0.505882
0.459770,0.530864,0.482353
0.540230,0.617284,0.564706
0.482759,0.592593,0.517647
0.425287,0.543210,0.470588
0.367816,0.518519,0.423529
0.459770,0.530864,0.458824
0.528736,0.555556,0.505882
0.482759,0.580247,0.517647
0.413793,0.493827,0.447059
0.356322,0.395062,0.364706
0.252874,0.382716,0.294118
0.172414,0.345679,0.258824
0.172414,0.333333,0.235294
0.321839,0.296296,0.294118
0.264368,0.308642,0.270588
0.287356,0.358025,0.329412
0.436782,0.506173,0.458824
0.413793,0.592593,0.494118
0.425287,0.592593,0.494118
0.390805,0.555556,0.470588
0.379310,0.555556,0.458824
0.436782,0.530864,0.447059
0.425287,0.493827,0.423529
0.482759,0.481481,0.447059
0.448276,0.506173,0.447059
0.390805,0.481481,0.423529
0.379310,0.506173,0.423529
0.367816,0.444444,0.400000
0.333333,0.407407,0.352941
0.310345,0.345679,0.317647
0.367816,0.370370,0.364706
0.344828,0.456790,0.388235
0.321839,0.444444,0.364706
0.367816,0.456790,0.388235
0.413793,0.580247,0.482353
0.390805,0.530864,0.458824
0.333333,0.506173,0.423529
0.344828,0.419753,0.400000
0.333333,0.382716,0.329412
0.287356,0.370370,0.317647
0.218391,0.320988,0.282353
0.344828,0.395062,0.352941
0.402299,0.419753,0.411765
0.459770,0.506173,0.435294
0.402299,0.469136,0.435294
0.413793,0.555556,0.470588
0.402299,0.518519,0.447059
0.344828,0.481481,0.376471
0.471264,0.580247,0.505882
0.379310,0.444444,0.376471
0.287356,0.444444,0.352941
0.379310,0.469136,0.435294
0.367816,0.543210,0.458824
0.321839,0.382716,0.341176
0.264368,0.308642,0.282353
0.275862,0.395062,0.329412
0.321839,0.432099,0.364706
0.287356,0.382716,0.317647
0.206897,0.333333,0.247059
0.195402,0.283951,0.223529
0.206897,0.271605,0.247059
0.333333,0.395062,0.329412
0.321839,0.345679,0.282353
0.321839,0.432099,0.364706
0.390805,0.518519,0.447059
0.425287,0.543210,0.447059
0.367816,0.506173,0.411765
0.367816,0.493827,0.411765
0.390805,0.580247,0.470588
0.425287,0.555556,0.470588
0.459770,0.518519,0.435294
0.402299,0.493827,0.435294
0.390805,0.481481,0.400000
0.413793,0.481481,0.423529
0.379310,0.419753,0.400000
0.425287,0.432099,0.423529
0.471264,0.617284,0.529412
0.448276,0.370370,0.435294
0.298851,0.320988,0.294118
0.275862,0.308642,0.282353
0.321839,0.308642,0.329412
0.413793,0.530864,0.470588
0.379310,0.580247,0.470588
0.402299,0.506173,0.458824
0.390805,0.469136,0.400000
0.459770,0.407407,0.411765
0.425287,0.469136,0.411765
0.413793,0.469136,0.447059
0.448276,0.456790,0.423529
0.436782,0.469136,0.423529
0.333333,0.481481,0.364706
0.356322,0.456790,0.400000
0.321839,0.444444,0.364706
0.367816,0.382716,0.329412
0.367816,0.333333,0.317647
0.367816,0.333333,0.317647
0.402299,0.382716,0.376471
0.494253,0.469136,0.447059
0.448276,0.518519,0.447059
0.333333,0.481481,0.376471
0.344828,0.395062,0.352941
0.425287,0.419753,0.400000
0.448276,0.530864,0.470588
0.528736,0.530864,0.505882
0.551724,0.493827,0.505882
0.367816,0.419753,0.376471
0.379310,0.370370,0.364706
0.436782,0.493827,0.458824
0.448276,0.543210,0.470588
0.413793,0.469136,0.411765
0.494253,0.506173,0.470588
0.425287,0.506173,0.447059
0.402299,0.432099,0.388235
0.402299,0.370370,0.364706
0.413793,0.370370,0.364706
0.402299,0.444444,0.423529
0.390805,0.407407,0.411765
0.425287,0.358025,0.376471
0.287356,0.395062,0.317647
0.195402,0.283951,0.223529
0.275862,0.296296,0.282353
0.413793,0.481481,0.447059
0.494253,0.481481,0.470588
0.528736,0.493827,0.494118
0.551724,0.518519,0.494118
0.551724,0.543210,0.505882
0.563218,0.567901,0.529412
0.528736,0.506173,0.494118
0.402299,0.469136,0.411765
0.356322,0.419753,0.364706
0.413793,0.407407,0.376471
0.356322,0.395062,0.376471
0.425287,0.493827,0.435294
0.448276,0.518519,0.470588
0.448276,0.518519,0.458824
0.379310,0.456790,0.400000
0.379310,0.432099,0.376471
0.425287,0.370370,0.352941
0.379310,0.345679,0.341176
0.310345,0.395062,0.341176
0.356322,0.358025,0.364706
0.402299,0.469136,0.411765
0.494253,0.493827,0.482353
0.563218,0.580247,0.541176
0.597701,0.567901,0.564706
0.678161,0.617284,0.623529
0.597701,0.629630,0.600000
0.482759,0.530864,0.494118
0.425287,0.493827,0.435294
0.540230,0.444444,0.482353
0.563218,0.555556,0.552941
0.494253,0.592593,0.517647
0.528736,0.493827,0.494118
0.632184,0.555556,0.576471
0.528736,0.641975,0.552941
0.586207,0.604938,0.564706
0.609195,0.629630,0.600000
0.505747,0.604938,0.541176
0.448276,0.604938,0.517647
0.517241,0.580247,0.517647
0.517241,0.555556,0.529412
0.482759,0.567901,0.517647
0.540230,0.543210,0.529412
0.482759,0.580247,0.517647
0.597701,0.543210,0.564706
0.620690,0.679012,0.635294
0.459770,0.543210,0.505882
0.551724,0.543210,0.541176
0.597701,0.530864,0.529412
0.436782,0.506173,0.447059
0.540230,0.518519,0.529412
0.620690,0.629630,0.600000
0.459770,0.555556,0.482353
0.574713,0.567901,0.564706
0.586207,0.641975,0.600000
0.655172,0.691358,0.658824
0.643678,0.728395,0.658824
0.597701,0.716049,0.623529
0.528736,0.641975,0.564706
0.540230,0.617284,0.552941
0.517241,0.617284,0.529412
0.597701,0.592593,0.576471
0.551724,0.654321,0.588235
0.551724,0.617284,0.564706
0.551724,0.617284,0.564706
0.586207,0.654321,0.588235
0.597701,0.617284,0.588235
0.471264,0.580247,0.494118
0.528736,0.555556,0.505882
0.609195,0.555556,0.576471
0.643678,0.666667,0.635294
0.597701,0.728395,0.623529
0.643678,0.691358,0.647059
0.712644,0.679012,0.682353
0.747126,0.740741,0.729412
0.804598,0.802469,0.788235
0.735632,0.679012,0.729412
0.551724,0.617284,0.564706
0.597701,0.654321,0.611765
0.655172,0.666667,0.623529
0.655172,0.666667,0.647059
0.620690,0.641975,0.611765
0.597701,0.666667,0.623529
0.574713,0.604938,0.564706
0.528736,0.567901,0.529412
0.517241,0.604938,0.529412
0.517241,0.604938,0.552941
0.632184,0.666667,0.635294
0.678161,0.740741,0.682353
0.655172,0.703704,0.647059
0.528736,0.617284,0.552941
0.540230,0.567901,0.541176
0.494253,0.617284,0.529412
0.540230,0.604938,0.552941
0.666667,0.691358,0.658824
0.724138,0.703704,0.717647
0.770115,0.765432,0.764706
0.643678,0.753086,0.682353
0.689655,0.716049,0.682353
0.793103,0.802469,0.788235
0.839080,0.827160,0.823529
0.735632,0.802469,0.764706
0.793103,0.802469,0.776471
0.793103,0.802469,0.788235
0.609195,0.666667,0.623529
0.586207,0.629630,0.588235
0.689655,0.740741,0.682353
0.609195,0.654321,0.611765
0.563218,0.617284,0.564706
0.609195,0.666667,0.611765
0.643678,0.666667,0.658824
0.678161,0.740741,0.682353
0.735632,0.728395,0.705882
0.724138,0.716049,0.717647
0.586207,0.679012,0.611765
0.689655,0.654321,0.670588
0.643678,0.740741,0.682353
0.712644,0.691358,0.705882
0.747126,0.728395,0.717647
0.609195,0.679012,0.623529
0.689655,0.679012,0.670588
0.758621,0.716049,0.741176
0.804598,0.790123,0.800000
0.770115,0.814815,0.788235
0.701149,0.740741,0.717647
0.770115,0.827160,0.764706
0.827586,0.802469,0.823529
0.850575,0.876543,0.835294
0.839080,0.876543,0.847059
0.781609,0.864198,0.800000
0.735632,0.740741,0.741176
0.678161,0.728395,0.682353
0.747126,0.703704,0.717647
0.816092,0.814815,0.800000
0.885057,0.839506,0.870588
0.862069,0.864198,0.858824
0.896552,0.851852,0.870588
0.919540,0.913580,0.929412
0.908046,0.962963,0.905882
0.827586,0.864198,0.835294
0.804598,0.827160,0.788235
0.747126,0.765432,0.741176
0.816092,0.777778,0.788235
0.816092,0.839506,0.811765
0.632184,0.691358,0.647059
0.701149,0.641975,0.670588
0.689655,0.753086,0.694118
0.758621,0.728395,0.729412
0.816092,0.827160,0.800000
0.758621,0.765432,0.741176
0.643678,0.679012,0.635294
0.712644,0.666667,0.682353
0.804598,0.740741,0.788235
0.885057,0.839506,0.858824
0.931034,0.901235,0.905882
0.931034,0.913580,0.894118
0.896552,0.888889,0.858824
0.816092,0.901235,0.823529
0.747126,0.814815,0.752941
0.758621,0.753086,0.717647
0.747126,0.666667,0.694118
0.804598,0.753086,0.764706
0.781609,0.802469,0.764706
0.758621,0.777778,0.741176
0.781609,0.765432,0.752941
0.770115,0.802469,0.752941
0.827586,0.777778,0.788235
0.701149,0.679012,0.694118
0.678161,0.703704,0.670588
0.724138,0.716049,0.694118
0.850575,0.802469,0.823529
0.770115,0.802469,0.776471
0.873563,0.839506,0.835294
0.885057,0.888889,0.858824
0.850575,0.876543,0.847059
0.885057,0.888889,0.858824
0.666667,0.691358,0.682353
0.655172,0.617284,0.635294
0.770115,0.777778,0.741176
0.816092,0.790123,0.788235
0.873563,0.851852,0.835294
0.793103,0.851852,0.788235
0.804598,0.814815,0.776471
0.712644,0.777778,0.741176
0.770115,0.814815,0.752941
0.770115,0.814815,0.764706
0.747126,0.827160,0.764706
0.689655,0.716049,0.705882
0.632184,0.703704,0.647059
0.666667,0.679012,0.647059
0.666667,0.716049,0.670588
0.678161,0.728395,0.670588
0.540230,0.691358,0.611765
0.551724,0.654321,0.564706
0.505747,0.641975,0.541176
0.517241,0.604938,0.541176
0.620690,0.604938,0.588235
0.724138,0.728395,0.717647
0.781609,0.802469,0.764706
0.758621,0.790123,0.752941
0.758621,0.839506,0.764706
0.781609,0.802469,0.764706
0.758621,0.790123,0.741176
0.735632,0.753086,0.705882
0.770115,0.765432,0.741176
0.793103,0.839506,0.788235
0.770115,0.790123,0.752941
0.632184,0.740741,0.658824
0.678161,0.753086,0.670588
0.528736,0.567901,0.517647
0.459770,0.567901,0.494118
0.505747,0.604938,0.529412
0.494253,0.555556,0.482353
0.436782,0.580247,0.482353
0.494253,0.555556,0.517647
0.528736,0.666667,0.588235
0.528736,0.629630,0.552941
0.563218,0.629630,0.576471
0.505747,0.592593,0.529412
0.505747,0.530864,0.482353
0.413793,0.481481,0.435294
0.402299,0.456790,0.400000
0.413793,0.481481,0.400000
0.252874,0.382716,0.317647
0.321839,0.333333,0.294118
0.494253,0.469136,0.482353
0.597701,0.629630,0.588235
0.597701,0.691358,0.623529
0.632184,0.691358,0.647059
0.505747,0.543210,0.505882
0.505747,0.555556,0.505882
0.574713,0.617284,0.564706
0.643678,0.666667,0.635294
0.517241,0.679012,0.588235
0.540230,0.716049,0.600000
0.505747,0.567901,0.505882
0.390805,0.530864,0.447059
0.402299,0.419753,0.388235
0.310345,0.407407,0.341176
0.333333,0.395062,0.364706
0.333333,0.444444,0.376471
0.367816,0.370370,0.341176
0.321839,0.370370,0.341176
0.344828,0.469136,0.388235
0.333333,0.456790,0.376471
0.356322,0.481481,0.423529
0.413793,0.555556,0.447059
0.425287,0.567901,0.494118
0.379310,0.506173,0.411765
0.344828,0.506173,0.400000
0.425287,0.469136,0.423529
0.471264,0.469136,0.447059
0.367816,0.493827,0.411765
0.379310,0.444444,0.411765
0.425287,0.432099,0.423529
0.344828,0.419753,0.376471
0.402299,0.469136,0.423529
0.494253,0.506173,0.482353
0.425287,0.456790,0.435294
0.402299,0.469136,0.400000
0.333333,0.432099,0.376471
0.390805,0.444444,0.388235
0.471264,0.481481,0.447059
0.448276,0.493827,0.470588
0.528736,0.555556,0.505882
0.471264,0.506173,0.447059
0.482759,0.543210,0.470588
0.482759,0.567901,0.529412
0.517241,0.641975,0.564706
0.402299,0.456790,0.447059
0.321839,0.481481,0.376471
0.321839,0.419753,0.364706
0.344828,0.395062,0.341176
0.321839,0.407407,0.341176
0.344828,0.444444,0.400000
0.367816,0.481481,0.400000
0.379310,0.530864,0.423529
0.356322,0.493827,0.411765
0.367816,0.506173,0.423529
0.390805,0.543210,0.435294
0.402299,0.543210,0.458824
0.436782,0.469136,0.435294
0.298851,0.358025,0.329412
0.367816,0.382716,0.364706
0.379310,0.456790,0.400000
0.356322,0.493827,0.388235
0.344828,0.493827,0.388235
0.333333,0.432099,0.376471
0.448276,0.419753,0.388235
0.367816,0.456790,0.388235
0.298851,0.481481,0.376471
0.379310,0.506173,0.435294
0.356322,0.543210,0.435294
0.356322,0.555556,0.435294
0.356322,0.481481,0.411765
0.379310,0.506173,0.423529
0.333333,0.456790,0.376471
0.402299,0.481481,0.423529
0.436782,0.444444,0.388235
0.367816,0.432099,0.388235
0.344828,0.407407,0.352941
0.390805,0.456790,0.388235
0.356322,0.518519,0.423529
0.459770,0.530864,0.470588
0.425287,0.432099,0.388235
0.402299,0.481481,0.411765
0.425287,0.493827,0.458824
0.413793,0.493827,0.447059
0.413793,0.506173,0.458824
0.436782,0.444444,0.411765
0.413793,0.395062,0.411765
0.402299,0.518519,0.447059
0.310345,0.444444,0.364706
0.333333,0.382716,0.341176
0.413793,0.407407,0.352941
0.275862,0.395062,0.317647
0.356322,0.320988,0.294118
0.206897,0.333333,0.270588
0.321839,0.407407,0.341176
0.367816,0.493827,0.400000
0.367816,0.456790,0.388235
0.333333,0.432099,0.376471
0.367816,0.543210,0.435294
0.379310,0.555556,0.458824
0.356322,0.407407,0.376471
0.356322,0.419753,0.364706
0.379310,0.481481,0.411765
0.413793,0.506173,0.435294
0.367816,0.493827,0.411765
0.298851,0.432099,0.341176
0.264368,0.370370,0.294118
0.229885,0.259259,0.235294
0.264368,0.246914,0.235294
0.137931,0.197531,0.164706
0.011494,0.160494,0.082353
0.080460,0.197531,0.129412
0.241379,0.246914,0.223529
0.321839,0.358025,0.329412
0.367816,0.432099,0.388235
0.402299,0.345679,0.341176
0.287356,0.382716,0.317647
0.333333,0.432099,0.364706
0.321839,0.456790,0.364706
0.390805,0.481481,0.435294
0.390805,0.444444,0.435294
0.310345,0.308642,0.329412
0.367816,0.345679,0.341176
0.321839,0.456790,0.364706
0.298851,0.382716,0.352941
0.344828,0.358025,0.341176
0.505747,0.493827,0.447059
0.471264,0.543210,0.470588
0.402299,0.506173,0.435294
0.482759,0.493827,0.470588
0.482759,0.567901,0.494118
0.448276,0.518519,0.470588
0.402299,0.469136,0.400000
0.367816,0.358025,0.352941
0.390805,0.370370,0.364706
0.379310,0.407407,0.352941
0.425287,0.407407,0.376471
0.459770,0.419753,0.423529
0.505747,0.456790,0.470588
0.517241,0.530864,0.494118
0.448276,0.518519,0.458824
0.402299,0.469136,0.411765
0.494253,0.444444,0.458824
0.471264,0.518519,0.470588
0.505747,0.543210,0.494118
0.448276,0.469136,0.423529
0.425287,0.432099,0.400000
0.333333,0.469136,0.376471
0.390805,0.469136,0.400000
0.459770,0.432099,0.447059
0.402299,0.530864,0.435294
0.448276,0.518519,0.447059
0.494253,0.493827,0.470588
0.563218,0.530864,0.517647
0.425287,0.419753,0.423529
0.333333,0.382716,0.329412
0.448276,0.370370,0.411765
0.517241,0.506173,0.494118
0.551724,0.604938,0.541176
0.528736,0.506173,0.517647
0.551724,0.592593,0.541176
0.425287,0.481481,0.447059
0.494253,0.469136,0.458824
0.563218,0.530864,0.541176
0.425287,0.518519,0.458824
0.379310,0.419753,0.388235
0.482759,0.432099,0.435294
0.333333,0.419753,0.364706
0.413793,0.395062,0.400000
0.425287,0.481481,0.435294
0.402299,0.456790,0.447059
0.528736,0.555556,0.529412
0.563218,0.629630,0.576471
0.574713,0.629630,0.588235
0.678161,0.641975,0.635294
0.643678,0.679012,0.647059
0.540230,0.555556,0.517647
